item,lexicon,family,query_type,cond,arm,k,estimand_unchanged,touches_causal_path,unchanged_qt
8,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
8,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
8,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
8,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
8,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
8,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
9,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
9,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
9,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
9,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
9,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
9,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
9,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
9,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
10,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
10,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
10,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
10,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
10,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
10,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
10,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
10,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
11,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
11,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
11,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
11,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
11,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
11,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
11,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
11,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
12,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
12,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
12,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
12,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
12,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
12,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
12,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
12,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
13,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
13,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
13,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
13,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
13,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
13,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
13,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
13,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
14,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
14,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
14,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
14,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
14,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
14,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
14,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
14,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
15,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
15,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
15,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
15,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
15,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
15,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
15,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
15,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
16,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
16,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
16,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
16,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
16,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
16,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
16,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
16,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
17,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
17,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
17,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
17,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
17,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
17,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
17,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
17,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
18,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
18,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
18,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
18,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
18,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
18,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
18,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
18,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
19,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
19,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
19,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
19,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
19,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
19,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
19,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
19,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
20,KEEP,IV,ate,DR_k1,DR,1,False,True,False
20,KEEP,IV,ate,DR_k2,DR,2,False,True,False
20,KEEP,IV,ate,DR_k3,DR,3,False,True,False
20,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
20,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
20,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
20,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
20,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
21,KEEP,IV,ate,DR_k1,DR,1,False,True,False
21,KEEP,IV,ate,DR_k2,DR,2,False,True,False
21,KEEP,IV,ate,DR_k3,DR,3,False,True,False
21,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
21,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
21,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
21,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
21,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
22,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
22,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
22,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
22,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
22,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
22,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
22,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
22,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
23,KEEP,IV,ate,DR_k1,DR,1,False,True,False
23,KEEP,IV,ate,DR_k2,DR,2,False,True,False
23,KEEP,IV,ate,DR_k3,DR,3,False,True,False
23,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
23,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
23,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
23,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
23,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
24,KEEP,IV,ate,DR_k1,DR,1,False,True,False
24,KEEP,IV,ate,DR_k2,DR,2,False,True,False
24,KEEP,IV,ate,DR_k3,DR,3,False,True,False
24,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
24,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
24,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
24,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
24,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
25,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
25,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
25,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
25,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
25,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
25,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
25,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
25,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
26,KEEP,IV,ate,DR_k1,DR,1,False,True,False
26,KEEP,IV,ate,DR_k2,DR,2,False,True,False
26,KEEP,IV,ate,DR_k3,DR,3,False,True,False
26,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
26,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
26,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
26,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
26,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
27,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
27,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
27,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
27,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
27,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
27,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
27,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
27,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
28,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
28,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
28,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
28,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
28,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
28,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
28,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
28,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
29,KEEP,IV,ate,DR_k1,DR,1,False,True,False
29,KEEP,IV,ate,DR_k2,DR,2,False,True,False
29,KEEP,IV,ate,DR_k3,DR,3,False,True,False
29,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
29,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
29,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
29,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
29,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
30,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
30,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
30,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
30,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
30,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
30,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
30,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
30,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
31,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
31,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
31,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
31,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
31,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
31,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
31,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
31,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
32,KEEP,IV,ate,DR_k1,DR,1,False,True,False
32,KEEP,IV,ate,DR_k2,DR,2,False,True,False
32,KEEP,IV,ate,DR_k3,DR,3,False,True,False
32,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
32,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
32,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
32,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
32,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
33,KEEP,IV,ate,DR_k1,DR,1,False,True,False
33,KEEP,IV,ate,DR_k2,DR,2,False,True,False
33,KEEP,IV,ate,DR_k3,DR,3,False,True,False
33,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
33,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
33,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
33,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
33,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
34,KEEP,IV,ate,DR_k1,DR,1,False,True,False
34,KEEP,IV,ate,DR_k2,DR,2,False,True,False
34,KEEP,IV,ate,DR_k3,DR,3,False,True,False
34,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
34,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
34,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
34,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
34,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
35,KEEP,IV,ate,DR_k1,DR,1,False,True,False
35,KEEP,IV,ate,DR_k2,DR,2,False,True,False
35,KEEP,IV,ate,DR_k3,DR,3,False,True,False
35,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
35,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
35,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
35,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
35,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
36,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
36,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
36,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
36,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
36,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
36,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
36,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
36,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
37,KEEP,IV,ate,DR_k1,DR,1,False,True,False
37,KEEP,IV,ate,DR_k2,DR,2,False,True,False
37,KEEP,IV,ate,DR_k3,DR,3,False,True,False
37,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
37,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
37,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
37,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
37,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
38,KEEP,IV,backadj,DR_k1,DR,1,False,True,False
38,KEEP,IV,backadj,DR_k2,DR,2,False,True,False
38,KEEP,IV,backadj,DR_k3,DR,3,False,True,False
38,KEEP,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
38,PSEUDO,IV,backadj,DR_k1,DR,1,False,True,False
38,PSEUDO,IV,backadj,DR_k2,DR,2,False,True,False
38,PSEUDO,IV,backadj,DR_k3,DR,3,False,True,False
38,PSEUDO,IV,backadj,SCRAMBLE,SCRAMBLE,0,False,True,False
39,KEEP,IV,ate,DR_k1,DR,1,False,True,False
39,KEEP,IV,ate,DR_k2,DR,2,False,True,False
39,KEEP,IV,ate,DR_k3,DR,3,False,True,False
39,KEEP,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
39,PSEUDO,IV,ate,DR_k1,DR,1,False,True,False
39,PSEUDO,IV,ate,DR_k2,DR,2,False,True,False
39,PSEUDO,IV,ate,DR_k3,DR,3,False,True,False
39,PSEUDO,IV,ate,SCRAMBLE,SCRAMBLE,0,False,True,False
40,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
40,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
40,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
40,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
40,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
40,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
40,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
40,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
41,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
41,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
41,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
41,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
41,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
41,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
41,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
41,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
42,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
42,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
42,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
42,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
42,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
42,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
42,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
42,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
43,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
43,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
43,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
43,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
43,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
43,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
43,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
43,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
44,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
44,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
44,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
44,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
44,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
44,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
44,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
44,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
45,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
45,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
45,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
45,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
45,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
45,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
45,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
45,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
46,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
46,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
46,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
46,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
46,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
46,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
46,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
46,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
47,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
47,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
47,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
47,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
47,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
47,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
47,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
47,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
48,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
48,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
48,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
48,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
48,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
48,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
48,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
48,PSEUDO,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
49,KEEP,IV,det-counterfactual,DR_k1,DR,1,False,True,False
49,KEEP,IV,det-counterfactual,DR_k2,DR,2,False,True,False
49,KEEP,IV,det-counterfactual,DR_k3,DR,3,False,True,False
49,KEEP,IV,det-counterfactual,SCRAMBLE,SCRAMBLE,0,False,True,False
49,PSEUDO,IV,det-counterfactual,DR_k1,DR,1,False,True,False
49,PSEUDO,IV,det-counterfactual,DR_k2,DR,2,False,True,False
49,PSEUDO,IV,det-counterfactual,DR_k3,DR,3,False,True,False
